Total_Operations,Successes,Failures,Total_Time_s,Average_Time_s,Std_Dev_Time_s,n,k,prob
100,99,1,25.9879,0.2599,0.1188,10,7,30
100,99,1,26.6892,0.2669,0.134,10,3,70
100,100,0,19.6554,0.1966,0.0204,10,7,10
100,100,0,18.8537,0.1885,0.003,10,5,10
100,100,0,19.7493,0.1975,0.0447,10,5,30
100,100,0,25.7539,0.2575,0.1048,10,5,50
100,60,40,52.4123,0.5241,0.2094,10,9,30
100,0,100,62.3867,0.6239,0.0185,10,7,90
100,99,1,25.846,0.2585,0.1098,10,9,10
100,6,94,65.3042,0.653,0.0565,10,7,70
100,100,0,19.1575,0.1916,0.0374,10,3,50
100,0,100,66.2785,0.6628,0.0107,10,9,70
100,62,38,48.7351,0.4874,0.1919,10,5,70
100,3,97,68.1737,0.6817,0.0585,10,9,50
100,0,100,62.5184,0.6252,0.0205,10,5,90
100,53,47,55.0104,0.5501,0.1842,10,7,50
100,100,0,18.4574,0.1846,0.0048,10,3,10
100,34,66,55.9503,0.5595,0.139,10,3,90
100,100,0,18.4156,0.1842,0.0038,10,3,30
100,0,100,62.8032,0.628,0.0254,10,9,90
